0 (猜一四字成语),身无分文,一元复始,一无所有,3
0＋0＝1(猜一四字成语),无法无天,自欺欺人,无中生有,3
1X1=1(猜一四字成语),自欺欺人,一石二鸟,一成不变,3
2、4、6、8、10 (猜一四字成语),成双成对,无奇不有,无独有偶,3
5，10 (猜一四字成语),缺一不可,成双成对,一五一十,3
I am bad luck. I am black. I have four legs and a tail. Who am I?（猜与万圣节有关的动物）,Crow乌鸦,Black cat黑猫,Bat蝙蝠,2
What has four legs but doesn't move? （猜一家具）,A chair 椅子,A table 桌子,baby 婴儿,2
What kind of apple isn't an apple?（猜一水果）,A green apple,A pineapple,Fuji apple,2
八两肉 (猜一字),胖,肥,霸,1
八哥(猜一字),兑,税,兑,3
白胡子，白眉毛，穿红衣，戴红帽，北风来，他也到，背着礼物一大包，小孩见了瞇瞇笑。(猜一外国民俗人物),吸血鬼,小精灵,圣诞老人,3
白色蝴蝶溪边飞。（猜一植物）,玫瑰花,野姜花,野苋菜,2
百年前的月亮(猜一字),胡,胖,膏,1
百花开遍(猜一商代人名),商汤,叔齐,纣王,2
北地(猜一字),升,盟,塑,3
北极耕田（猜一外国地名）,雪梨,纽约,洛杉矶,1
半个朋友不见了。（猜一字）,日,月,胖,2
半真半假 (猜一字),值,直,植,1
奔走住月城(猜一动物名),蟾蜍,兔子,蝌蚪,1
傍晚减去早晨＝1(猜一四字成语),夜幕低垂,昏天暗地,朝三暮四,3
婢学夫人(猜一三国人名),糜竺,法正,许褚,2
不要动(猜本省大学),静宜大学,中正大学,政治大学,1
布帛长短同，衣前后，左右手，空空如也。(猜一衣着名),长袖,背心,外套,2
怕火(猜一字),煮,烫,煨,3
翩翩雄与雌(猜一鸟名),麻雀,海鸥,比翼鸟,3
瀑布(猜一字),淋,沐,泣,3
马鸣声萧萧(卷帘格，猜一动物名),响尾蛇,大蟒蛇,龟壳花,1
马的嘴空(猜一字),嘛,妈,吗,3
没有一点良心(猜一字),恨,惜,忻,1
梅雪争妍 (猜一字),皆,偕,阶,1
美好的开端 (猜一字),义,美,姜,3
某家有对姊妹花，容貌长得一模样，不在闺中做针线，却在厅堂乘风凉。(猜一物品名),壁画,对联,春联,2
满身是箭一将军，走起路来满滚。(猜一兽名),响尾蛇,穿山甲,刺猬,3
满座重闻皆掩泣 (猜一武器名),闪光弹,催泪弹,未爆弹,2
庙在山边(猜一字),肆,嗣,峙,3
面君(猜一字),归,见,规,3
民航机开张(猜一成语),自给自足,事事顺利,有机可乘,3
