楚楚的生日在三月三十日，请问是哪年的三月三十日？,每年的三月三十
一头公牛加一头母牛，猜三个字？,两头牛
什么样的路不能走?,电路
"小波比的一举一动都离不开绳子,为什么?",小波比是木偶
一学生把硬币抛向空中：正面朝上就去看电影，背面朝上就去打台球，如果硬币立起来，就他妈去学习。,去学习
两只狗赛跑，甲狗跑得快，乙狗跑得慢，跑到终点时，哪只狗出汗多?,狗不会出汗
有种动物，大小像只猫，长相又像虎，这是什么动物?,小老虎
猴子每分钟能掰一个玉米，在果园里，一只猴子5分钟能掰几个玉米?,没掰到一个
世上什么东西比天更高?,心比天高
什么贵重的东西最容易不翼而飞? ,人造卫星
三个金鑫，三个水叫淼，三个人叫众，那么三个鬼应该叫什么? ,叫救命
胖妞生病时，最怕别人来探病时说什么? ,多保重身体
什么东西比乌鸦更讨厌? ,乌鸦嘴
孔子是我国最伟大的什么家? ,老人家
睡美人最怕的是什么?,失眠
小明对小华说：我可以坐在一个你永远也坐不到的地方！他坐在哪里?,小华的身上
"不管长得多像的双胞胎,都会有人分得出来,这人是谁?",他们自己
世界上除了火车啥车最长?,塞车
有一个人一年才上一天班又不怕被解雇他是谁?,圣诞老人
.拿鸡蛋撞石头鸡蛋为何不烂?,拿着鸡蛋撞石头当然不会烂
哪项比赛是往后跑的?,拔河
你的爸爸的妹妹的堂弟的表哥的爸爸与你叔叔的儿子的嫂子是什么关系?,亲戚关系
牙医靠什么吃饭? ,嘴巴
.明明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么?,什么都看不见
一个不会游泳的人掉进了水里却没有淹死，为什么?,穿着救生衣
用什么可以解开所有的谜?,迷底
两只狗赛跑，甲狗跑得快，乙狗跑得慢，跑到终点时，哪只狗出汗多?,狗不会出汗
哪儿的海不产鱼?,辞海
迄今为止，你所见到的最大的影子是什么? ,黑夜，哪是地球的影子
有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生？,沉到江底
冰变成水最快的方法是什么?,去掉冰字哪二点
小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？,因为他正在瞄准
有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁？,你自己
什么东西天气越热，它爬的越高？,漫度计
什么东西在倒立之后会增加一半？,数目字6
为什么人们要到市场上去？,因为市场不能来
为什么青蛙可以跳得比树高？,树不会跳
纸上写着某一份命令。但是，看懂此文字的人，却绝对不能宣读命令。那么，纸上写的是什么呢？ ,级上写着，不要念出此文
.一架空调器从楼掉下来会变成啥器？,凶器
为什么现代人越来越言而无信?,打电话当然比写信方便
两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么?,他们住对门
网要什么时候可以提水?,当水变成冰时，用网当然可以提
全世界死亡率最高的地方在哪里?,在床上
你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么?,做梦
一个离过五十次婚的女人，应该怎么形容她?,前功，尽弃
司机进汽车后第一件事是什么？,坐下 
一个没有胸部的巨大女人该怎么称呼？ ,巨无霸 
有个人饿得要死，而冰箱里有鸡罐、鱼罐、猪肉等罐头，他先打开什么？ ,先开冰箱 
阿匹婆的英文名字是？ ,A-People 
每对夫妻都有的共同点是？ ,同年同日结婚 
公共厕所（猜一外国首都）,伦敦（轮蹲）
哪个欧洲国家的生意不批发？,丹麦（单卖） 
阿弟竟成功的用面线上吊自杀成功，为什么？,摔死的... 
什么东西看不到却可以摸到，万一摸不到会把人吓到？ ,脉搏 
什么鼠最爱干净？,环保署 
什么书买不到？ ,遗书 
右手永远抓不到什么？ ,右手
「笑」和「哭」有什么相同之处？ ,都是10画 
这个东东，左看像电灯，右看也像电灯，和电灯没什么两样。但它就是不会亮，这是啥东东呢？ ,坏掉的电灯 
一头被10公尺绳子栓住的老虎，要如何吃到20公尺外的草？ ,老虎... 不吃草
